Time (s),Evaporator Position 1 (°C),Evaporator Position 2 (°C),Evaporator Position 3 (°C),Condenser Position 1 (°C),Condenser Position 2 (°C),Condenser Position 3 (°C),Condenser Position 4 (°C)
414,51.76732,51.57908,51.39857,50.90844,50.89466,50.29783,50.12609
414.5,51.75924,51.56592,51.41819,50.99291,50.86318,50.27466,50.16023
415,51.78509,51.55761,51.3981,50.92797,50.88832,50.20623,50.16481
415.5,51.7752,51.58119,51.39467,50.95252,50.87337,50.30727,50.14085
416,51.74501,51.55377,51.40166,50.96091,50.90139,50.23571,50.08823
416.5,51.75481,51.54372,51.38144,50.95671,50.89951,50.23961,50.05191
417,51.73739,51.5203,51.37002,50.95264,50.86979,50.27111,50.05199
417.5,51.74187,51.5257,51.34448,50.95125,50.81574,50.31709,50.07302
418,51.70606,51.51089,51.33428,50.93543,50.79806,50.25366,50.0209
418.5,51.70138,51.48728,51.32961,50.86637,50.8191,50.19059,49.9844
419,51.67939,51.496,51.29976,50.85661,50.82643,50.17159,49.97001
419.5,51.66866,51.47186,51.28764,50.85843,50.77835,50.17063,49.9464
420,51.66653,51.46743,51.27951,50.86961,50.77082,50.18412,49.96314
420.5,51.64347,51.45845,51.26429,50.88818,50.7716,50.1819,49.87055
421,51.63158,51.44309,51.24962,50.84595,50.79059,50.17895,49.85164
421.5,51.62434,51.42916,51.24793,50.8493,50.76276,50.16543,49.83465
422,51.63196,51.41577,51.22668,50.81657,50.74504,50.14216,49.85922
422.5,51.58577,51.41066,51.22827,50.75952,50.70162,50.18122,49.84606
423,51.61598,51.37531,51.20862,50.7501,50.68549,50.12281,49.87592
423.5,51.59552,51.36639,51.18353,50.74703,50.7023,50.12575,49.90961
424,51.54707,51.36296,51.19049,50.751,50.68454,50.07148,49.91195
424.5,51.55963,51.35174,51.1825,50.70046,50.67929,50.0059,49.87572
425,51.55058,51.32421,51.16236,50.72609,50.6497,50.03663,49.84867
425.5,51.52388,51.32983,51.15759,50.72837,50.64366,50.05785,49.79524
426,51.51505,51.30968,51.1118,50.7108,50.58682,50.00007,49.72889
426.5,51.50241,51.28711,51.10585,50.64696,50.57518,49.94428,49.68997
427,51.4734,51.26849,51.08723,50.6564,50.61929,49.93063,49.61689
427.5,51.45631,51.25394,51.10247,50.64652,50.59808,49.87428,49.62896
428,51.46007,51.24985,51.0575,50.63348,50.58297,49.93705,49.63811
428.5,51.43395,51.2258,51.054,50.6363,50.58417,49.9884,49.67885
429,51.44703,51.2308,51.0336,50.62258,50.53371,49.9689,49.69193
429.5,51.42448,51.21079,51.03114,50.61785,50.55069,49.96693,49.62385
430,51.39207,51.1853,51.01951,50.61377,50.50202,49.92772,49.62971
430.5,51.39552,51.18644,51.0218,50.59442,50.49515,49.9153,49.6129
431,51.37997,51.17043,51.00671,50.55189,50.48081,49.92222,49.59809
431.5,51.36745,51.1609,51.00827,50.58782,50.48855,49.91217,49.62803
432,51.38097,51.1541,50.96751,50.59745,50.44342,49.89315,49.6298
432.5,51.34908,51.15108,50.96657,50.58988,50.44046,49.78086,49.5709
433,51.33118,51.13433,50.94682,50.55715,50.46896,49.79735,49.53746
433.5,51.33078,51.12284,50.95634,50.52486,50.49143,49.74795,49.56572
434,51.30512,51.1108,50.93783,50.48327,50.48035,49.77361,49.6256
434.5,51.32834,51.11902,50.93058,50.53032,50.4761,49.75087,49.64239
435,51.29161,51.08597,50.93679,50.52218,50.44578,49.77554,49.62476
435.5,51.30552,51.08972,50.88603,50.49002,50.43834,49.80139,49.59605
436,51.28763,51.07345,50.89724,50.4858,50.4563,49.84039,49.57958
436.5,51.27672,51.06208,50.86924,50.48441,50.45468,49.74262,49.58628
437,51.2854,51.0599,50.88115,50.46713,50.43694,49.71238,49.52483
437.5,51.24577,51.05467,50.84543,50.4843,50.44325,49.75429,49.5219
438,51.25577,51.03905,50.87646,50.46246,50.39877,49.72389,49.54582
438.5,51.259,51.04181,50.8589,50.4363,50.38392,49.79965,49.53929
439,51.22521,51.01518,50.84127,50.42034,50.37189,49.74717,49.5691
439.5,51.21225,51.02854,50.84724,50.42407,50.34535,49.80591,49.59595
440,51.21701,51.0116,50.83723,50.44197,50.32859,49.77551,49.60392
440.5,51.2238,51.00453,50.81283,50.44428,50.35008,49.7168,49.63351
441,51.2044,51.00822,50.81168,50.42165,50.36881,49.65463,49.59422
441.5,51.18715,50.9972,50.7801,50.34387,50.34833,49.59716,49.55178
442,51.19424,50.99067,50.77541,50.33337,50.31472,49.66663,49.51353
442.5,51.17117,50.96459,50.7886,50.34846,50.2933,49.67526,49.54249
443,51.16011,50.95076,50.78908,50.33715,50.24595,49.62257,49.46113
443.5,51.14042,50.94607,50.76245,50.34583,50.25971,49.61993,49.42057
444,51.13854,50.9345,50.75457,50.31138,50.28996,49.62684,49.34771
444.5,51.14189,50.92306,50.73551,50.24709,50.26911,49.62517,49.3042
445,51.11612,50.91784,50.73561,50.25408,50.18968,49.61853,49.31628
445.5,51.10827,50.91692,50.70303,50.28852,50.15826,49.59704,49.3438
446,51.07896,50.87051,50.69358,50.25671,50.17775,49.57932,49.32377
446.5,51.07248,50.86819,50.67971,50.2249,50.11682,49.53894,49.35946
447,51.07669,50.86062,50.66359,50.17213,50.08299,49.54903,49.38088
447.5,51.0364,50.85011,50.66532,50.19844,50.10954,49.52819,49.35125
448,51.03501,50.82401,50.6376,50.1444,50.11882,49.55412,49.33117
448.5,51.00524,50.81456,50.61822,50.12907,50.12244,49.5048,49.34935
449,51.00223,50.78452,50.61798,50.10717,50.08667,49.5823,49.35404
449.5,50.96837,50.76706,50.59265,50.16325,50.07018,49.56558,49.34054
450,50.96852,50.76513,50.59973,50.08917,50.11004,49.53471,49.35985
450.5,50.97124,50.74545,50.5849,50.14145,50.07843,49.49731,49.39273
451,50.96033,50.75139,50.57236,50.1758,50.10932,49.35342,49.36536
451.5,50.95585,50.7379,50.54316,50.12457,50.10592,49.38794,49.33468
452,50.93737,50.74299,50.56095,50.10882,50.12299,49.39438,49.36077
452.5,50.95366,50.73688,50.5352,50.0883,50.10593,49.44228,49.38579
453,50.92475,50.70079,50.53978,50.09628,50.01523,49.45651,49.37459
453.5,50.92768,50.71782,50.54017,50.10051,49.99403,49.41242,49.32587
454,50.91283,50.70504,50.54056,50.11034,49.99393,49.41232,49.2749
454.5,50.88944,50.70383,50.51763,50.01018,49.96078,49.28783,49.23642
455,50.86657,50.67702,50.52547,50.01466,49.87258,49.33764,49.24299
455.5,50.8939,50.68403,50.50568,50.06584,49.88955,49.32317,49.17025
456,50.85165,50.65471,50.47082,50.05082,49.93555,49.31878,49.11451
456.5,50.84096,50.65926,50.48461,50.05559,49.9535,49.29303,49.08645
457,50.84367,50.63795,50.46792,50.04369,49.97164,49.29985,49.03823
457.5,50.83664,50.61637,50.44101,50.03021,49.95193,49.26302,49.04741
458,50.8188,50.61838,50.44234,50.0317,49.93261,49.32231,49.0489
458.5,50.80839,50.60151,50.4347,50.0323,49.93692,49.30812,49.0236
459,50.80046,50.57832,50.40019,50.02503,49.90907,49.28212,48.98441
459.5,50.7946,50.57894,50.42044,49.98793,49.95841,49.27806,48.98521
460,50.76459,50.5644,50.40059,49.9854,49.93393,49.28964,48.96973
460.5,50.75426,50.55568,50.39649,49.95817,49.90137,49.20412,48.98365
461,50.76237,50.53977,50.37365,49.91089,49.8252,49.21186,49.01289
461.5,50.74377,50.54057,50.36035,49.93038,49.85163,49.12638,49.01551
462,50.73899,50.52886,50.37382,49.94185,49.84391,49.19774,48.98536
462.5,50.73484,50.51015,50.32877,49.93708,49.84099,49.20916,48.96764
463,50.70665,50.51661,50.31744,49.91679,49.85283,49.12989,48.96861
463.5,50.70344,50.48753,50.32325,49.85937,49.85505,49.06112,48.91347
464,50.68844,50.49517,50.31148,49.82576,49.79786,49.06958,48.89973
464.5,50.66456,50.4863,50.29775,49.84279,49.76264,49.13703,48.9702
465,50.67172,50.46227,50.27095,49.8287,49.75872,48.96937,48.95818
465.5,50.64453,50.46303,50.26477,49.78589,49.78225,49.0202,49.00231
466,50.6525,50.43889,50.25241,49.81215,49.78563,49.11817,49.00407
466.5,50.64832,50.42731,50.25701,49.79806,49.78264,49.12673,49.02674
467,50.63,50.41499,50.2604,49.84393,49.76402,49.1051,48.99493
467.5,50.61789,50.43107,50.24367,49.81352,49.78122,49.14104,48.96982
468,50.60511,50.40744,50.2332,49.83621,49.75236,49.10431,48.96014
468.5,50.5937,50.40596,50.24258,49.82548,49.67737,49.05797,48.93692
469,50.63345,50.39996,50.2218,49.74857,49.69962,49.05941,48.93097
469.5,50.56876,50.39233,50.21001,49.80039,49.68949,49.05229,48.88822
470,50.57954,50.38024,50.21016,49.7828,49.67629,48.98659,48.83037
470.5,50.57973,50.35408,50.20203,49.78909,49.70223,49.01022,48.814
471,50.54374,50.34929,50.17643,49.74484,49.66284,48.97266,48.74081
471.5,50.56125,50.32151,50.17269,49.68975,49.64312,49.02717,48.74375
472,50.51735,50.32358,50.16181,49.69419,49.64339,49.03994,48.77178
472.5,50.51982,50.31057,50.13471,49.71095,49.64767,48.98409,48.74854
473,50.49338,50.2996,50.12882,49.69088,49.58553,48.95129,48.69237
473.5,50.49529,50.30453,50.09191,49.67326,49.59772,48.83444,48.66432
474,50.47525,50.2891,50.09151,49.64102,49.59623,48.86163,48.65612
474.5,50.46916,50.25297,50.09235,49.64813,49.53259,48.91176,48.69863
475,50.47793,50.26244,50.08379,49.63779,49.55902,48.89355,48.72507
475.5,50.46818,50.25476,50.05947,49.6242,49.57594,48.87394,48.77716
476,50.44548,50.24292,50.05965,49.61997,49.57911,48.8512,48.7764
476.5,50.45747,50.21078,50.05662,49.58539,49.52742,48.82355,48.75776
477,50.43722,50.2201,50.03521,49.5422,49.55568,48.84441,48.78464
477.5,50.41378,50.22462,50.03348,49.58705,49.55891,48.86824,48.77169
478,50.42483,50.21118,50.01311,49.59892,49.53332,48.87987,48.75233
478.5,50.4137,50.19403,50.02508,49.60267,49.54239,48.89704,48.66795
479,50.38415,50.17533,50.00592,49.5729,49.55008,48.84413,48.65366
479.5,50.37138,50.16511,49.97674,49.51238,49.5129,48.79376,48.68124
480,50.35881,50.16201,49.97526,49.59327,49.46502,48.76621,48.6951
480.5,50.35829,50.13492,49.96573,49.5517,49.49604,48.7385,48.67895
481,50.34112,50.13739,49.96935,49.46618,49.48266,48.76905,48.68915
481.5,50.34819,50.12874,49.98428,49.49293,49.46155,48.68247,48.70319
482,50.34743,50.13861,49.95856,49.47128,49.48128,48.70638,48.69587
482.5,50.30522,50.12736,49.95331,49.49426,49.43975,48.74371,48.66473
483,50.30354,50.1236,49.94146,49.43726,49.45605,48.73804,48.68982
483.5,50.3042,50.08867,49.91855,49.49509,49.38278,48.67168,48.69425
484,50.28762,50.06631,49.89641,49.42536,49.406,48.58433,48.62055
484.5,50.27319,50.0669,49.89515,49.41246,49.35934,48.63759,48.65854
485,50.27697,50.06467,49.89616,49.46541,49.36397,48.65957,48.64836
485.5,50.25428,50.04983,49.8723,49.44785,49.39242,48.66467,48.59586
486,50.25171,50.04218,49.86997,49.40192,49.38857,48.73461,48.58969
486.5,50.24769,50.04486,49.85347,49.35481,49.36458,48.64399,48.6189
487,50.21817,50.02805,49.85329,49.34519,49.34409,48.70075,48.60881
487.5,50.23125,50.01778,49.8488,49.3746,49.34807,48.6543,48.5649
488,50.21229,50.02748,49.837,49.40009,49.35946,48.72353,48.51268
488.5,50.20775,49.99567,49.82622,49.43302,49.35539,48.72593,48.53313
489,50.20257,49.98956,49.8155,49.35052,49.32028,48.72019,48.53179
489.5,50.19082,49.99676,49.8079,49.36291,49.31927,48.63567,48.55436
490,50.20336,49.98504,49.81282,49.29142,49.34652,48.60116,48.55479
490.5,50.18415,49.98408,49.78898,49.32613,49.34076,48.56233,48.51525
491,50.15727,49.94171,49.78913,49.32215,49.32938,48.61826,48.47842
491.5,50.16215,49.94914,49.78547,49.33907,49.27207,48.65114,48.49095
492,50.16687,49.93444,49.77908,49.33945,49.25603,48.5701,48.44853
492.5,50.14108,49.94793,49.75398,49.32937,49.26514,48.50819,48.4116
493,50.13473,49.91293,49.74555,49.3188,49.27492,48.5145,48.41375
493.5,50.13407,49.90164,49.72478,49.31079,49.22297,48.50117,48.43743
494,50.1288,49.89105,49.73453,49.27112,49.20365,48.5864,48.43291
494.5,50.08992,49.91041,49.72639,49.27337,49.21169,48.60508,48.4111
495,50.08855,49.87991,49.72131,49.31243,49.21999,48.60483,48.45967
495.5,50.10752,49.89496,49.70562,49.29997,49.1962,48.59075,48.46872
496,50.10487,49.90317,49.70805,49.29398,49.22652,48.55052,48.47638
496.5,50.09618,49.88292,49.71693,49.29395,49.2022,48.56552,48.44927
497,50.05895,49.89006,49.71136,49.29585,49.24688,48.54799,48.41693
497.5,50.08428,49.88535,49.69346,49.28539,49.23781,48.58125,48.38796
498,50.07461,49.87082,49.68957,49.28427,49.22952,48.42351,48.41646
498.5,50.05756,49.86834,49.68246,49.19132,49.2071,48.4536,48.42433
499,50.06169,49.84103,49.68843,49.2047,49.15827,48.47647,48.43425
499.5,50.02821,49.83621,49.66026,49.23287,49.158,48.41604,48.42866
500,50.01708,49.83594,49.663,49.1994,49.18535,48.48343,48.37087
500.5,50.03805,49.82131,49.66108,49.18181,49.15574,48.52876,48.36531
501,50.02567,49.82187,49.64431,49.21167,49.16039,48.44642,48.35098
501.5,50.01244,49.81465,49.64865,49.20177,49.15303,48.38446,48.31632
502,50.01064,49.79436,49.63159,49.14582,49.16299,48.40067,48.2925
502.5,49.9972,49.79201,49.61028,49.17064,49.16977,48.39404,48.29304
503,49.98722,49.78827,49.62042,49.17609,49.15094,48.39764,48.29826
503.5,49.98254,49.78683,49.59955,49.17184,49.14924,48.44753,48.30581
504,49.97658,49.77832,49.59613,49.14892,49.11012,48.44704,48.29954
504.5,49.9798,49.7441,49.58571,49.11655,49.06156,48.45653,48.3398
505,49.9654,49.75397,49.57755,49.1144,49.0527,48.45993,48.31104
505.5,49.95817,49.74904,49.58811,49.10105,49.06572,48.43617,48.31296
506,49.98404,49.74441,49.57492,49.12342,49.0578,48.35652,48.28537
506.5,49.96337,49.72465,49.56303,49.11265,49.01279,48.29923,48.27829
507,49.9333,49.7274,49.56763,49.17103,49.01937,48.34954,48.25062
507.5,49.93085,49.71432,49.5372,49.14815,49.05338,48.30212,48.23768
508,49.90262,49.71243,49.53532,49.09754,49.03237,48.29452,48.26224
508.5,49.91545,49.69014,49.52527,49.09321,49.02642,48.3485,48.23986
509,49.91026,49.68332,49.52377,49.08421,49.02159,48.33094,48.14269
509.5,49.91104,49.68873,49.49658,49.07764,49.00068,48.34125,48.17985
510,49.86056,49.68471,49.49117,49.09039,49.0088,48.17699,48.10328
510.5,49.86602,49.68623,49.49385,48.99528,49.0224,48.24914,48.14744
511,49.86094,49.67468,49.489,49.05309,49.03534,48.28638,48.13007
511.5,49.85416,49.65056,49.46811,49.08674,49.00469,48.29483,48.12579
512,49.84539,49.62191,49.47252,49.01946,49.01443,48.23006,48.12604
512.5,49.85056,49.61044,49.46729,49.00977,49.0126,48.19329,48.1455
513,49.82559,49.62892,49.43213,49.00704,48.9687,48.23337,48.13397
513.5,49.81798,49.60328,49.45505,49.02488,48.95462,48.25122,48.12012
514,49.82216,49.60491,49.43564,49.03381,48.87149,48.26755,48.1684
514.5,49.82415,49.60113,49.40342,49.03477,48.91756,48.20928,48.11775
515,49.79357,49.59436,49.4119,49.00075,48.93164,48.21921,48.07237
515.5,49.79123,49.56981,49.41024,48.95454,48.88289,48.19935,48.09949
516,49.80431,49.57712,49.40091,48.9807,48.87714,48.20077,48.09397
516.5,49.76929,49.55689,49.38114,49.00079,48.79614,48.25303,48.11268
517,49.74873,49.55621,49.39386,49.00109,48.84571,48.17743,48.08012
517.5,49.74407,49.55317,49.36724,48.87964,48.81492,48.16468,48.0558
518,49.73594,49.53624,49.34846,48.90958,48.85273,48.11457,48.06145
518.5,49.73808,49.52267,49.35778,48.92417,48.84003,48.08474,48.04111
519,49.72684,49.5283,49.37196,48.86749,48.83886,48.10833,48.02096
519.5,49.7069,49.49148,49.34208,48.89247,48.80023,48.08473,48.05938
520,49.69761,49.50022,49.31567,48.90895,48.83452,48.12297,47.97797
520.5,49.69678,49.4802,49.30883,48.88554,48.81458,48.10812,47.96427
521,49.68315,49.48113,49.30028,48.87318,48.73282,48.07746,48.0123
521.5,49.68535,49.46947,49.28514,48.86476,48.73273,48.06001,47.99416
522,49.6546,49.44865,49.29114,48.87051,48.77572,48.06669,47.91358
522.5,49.64948,49.42642,49.27145,48.83356,48.78295,48.06189,47.881
523,49.64066,49.43101,49.25685,48.81987,48.77343,48.0637,47.89717
523.5,49.61403,49.42564,49.24802,48.80806,48.71072,48.0144,47.91151
524,49.60557,49.39753,49.23053,48.74523,48.74829,48.01819,47.90836
524.5,49.59626,49.41296,49.21313,48.80682,48.65836,47.99534,47.89707
525,49.597,49.36723,49.20878,48.81533,48.68676,47.98765,47.92966
525.5,49.59472,49.38321,49.20697,48.76944,48.70379,47.90378,47.94068
526,49.57543,49.37941,49.1916,48.75351,48.68185,47.87627,47.96478
526.5,49.5773,49.33781,49.19393,48.78556,48.6799,47.9493,47.92788
527,49.56593,49.36343,49.18533,48.74477,48.67102,47.99597,47.88081
527.5,49.53107,49.34151,49.16387,48.74443,48.63413,48.00767,47.88186
528,49.54225,49.34067,49.15077,48.74468,48.63832,47.92761,47.88605
528.5,49.52592,49.3322,49.16427,48.68987,48.65892,47.87092,47.84533
529,49.52867,49.31622,49.14436,48.70007,48.61614,47.86029,47.86178
529.5,49.52682,49.31969,49.13187,48.72887,48.58641,47.83773,47.83227
530,49.50223,49.30758,49.12993,48.69934,48.61865,47.81119,47.81221
530.5,49.51137,49.29868,49.12381,48.72924,48.61894,47.86448,47.82824
531,49.48171,49.27549,49.11657,48.6915,48.60641,47.8545,47.80645
531.5,49.46525,49.27914,49.11144,48.66329,48.58815,47.94732,47.8671
532,49.47507,49.27024,49.11548,48.65077,48.59714,47.95562,47.85805
532.5,49.48827,49.25546,49.0896,48.68908,48.62597,47.85161,47.89059
533,49.44294,49.26747,49.09004,48.62721,48.60736,47.8367,47.91966
533.5,49.45908,49.25355,49.09209,48.66243,48.58405,47.78652,47.89981
534,49.45495,49.25058,49.0683,48.6376,48.60735,47.82488,47.85067
534.5,49.44798,49.24477,49.04768,48.64033,48.58185,47.9063,47.84599
535,49.43944,49.22697,49.06643,48.588,48.55195,47.87223,47.89177
535.5,49.44494,49.22485,49.06037,48.62165,48.50695,47.85961,47.88586
536,49.42006,49.22609,49.03294,48.64439,48.57156,47.89115,47.84403
536.5,49.4233,49.21661,49.04033,48.64947,48.54286,47.84948,47.80235
537,49.43076,49.21667,49.04224,48.60417,48.54337,47.83841,47.77463
537.5,49.41489,49.20126,49.02684,48.59266,48.52885,47.83384,47.78024
538,49.40527,49.20967,49.01651,48.57909,48.55554,47.76911,47.7662
538.5,49.40683,49.20198,49.02224,48.59875,48.5007,47.71216,47.75439
539,49.39336,49.18157,48.99373,48.57728,48.4672,47.71314,47.77388
539.5,49.37657,49.18768,49.00515,48.51163,48.45985,47.7375,47.71653
540,49.37062,49.15744,48.99295,48.53563,48.44798,47.78234,47.75443
540.5,49.36031,49.16564,48.97848,48.55377,48.48117,47.7336,47.75591
541,49.33663,49.1468,48.9652,48.53176,48.49062,47.72361,47.76421
541.5,49.33174,49.15047,48.97256,48.50771,48.5029,47.62524,47.74501
542,49.3236,49.12868,48.95933,48.4865,48.41713,47.66745,47.73236
542.5,49.31577,49.1338,48.95752,48.51251,48.39502,47.64439,47.64472
543,49.30392,49.09836,48.92114,48.46869,48.40024,47.67601,47.59485
543.5,49.28294,49.09357,48.90779,48.47469,48.41967,47.64313,47.53904
544,49.28724,49.09047,48.89081,48.43904,48.37499,47.657,47.56773
544.5,49.26267,49.08162,48.88404,48.44988,48.39764,47.63243,47.52487
545,49.24222,49.05793,48.88024,48.4794,48.37763,47.64807,47.50879
545.5,49.26105,49.04878,48.88011,48.47045,48.36962,47.65834,47.49313
546,49.23817,49.05827,48.86393,48.44384,48.33676,47.60833,47.5179
546.5,49.22907,49.02072,48.85321,48.43256,48.34514,47.63871,47.50823
547,49.22099,49.00408,48.85067,48.44892,48.29139,47.57475,47.49752
547.5,49.21527,48.98217,48.82251,48.40792,48.30314,47.57563,47.45811
548,49.19849,48.99314,48.81544,48.41497,48.31412,47.60653,47.46979
548.5,49.17482,48.99884,48.81675,48.40718,48.33225,47.59549,47.49464
549,49.17647,48.9813,48.7999,48.37605,48.33768,47.52059,47.48109
549.5,49.16378,48.96768,48.81819,48.31849,48.32108,47.44402,47.49898
550,49.17866,48.96313,48.7764,48.33619,48.33322,47.45131,47.44259
550.5,49.16922,48.94514,48.77992,48.35449,48.28303,47.493,47.45003
551,49.13744,48.94272,48.77334,48.35722,48.24642,47.55801,47.4641
551.5,49.12821,48.91499,48.75624,48.37652,48.23541,47.50926,47.54894
552,49.13627,48.92675,48.76199,48.27194,48.27245,47.49492,47.53668
552.5,49.1303,48.92402,48.75001,48.27578,48.24343,47.48093,47.52385
553,49.10953,48.90948,48.75212,48.29516,48.2598,47.50333,47.55042
553.5,49.13393,48.89157,48.72264,48.32876,48.20732,47.47259,47.53681
554,49.08863,48.90639,48.71757,48.33603,48.12711,47.52107,47.4943
554.5,49.09657,48.88704,48.70956,48.34407,48.18791,47.50411,47.46553
555,49.08936,48.88075,48.72686,48.32426,48.22249,47.4961,47.44594
555.5,49.0797,48.86369,48.71003,48.30563,48.20293,47.50571,47.43216
556,49.06605,48.8727,48.70215,48.31726,48.17522,47.49997,47.39703
556.5,49.0785,48.85971,48.68916,48.34112,48.1956,47.48796,47.37158
557,49.06964,48.85132,48.66989,48.29696,48.23962,47.39377,47.34291
557.5,49.06664,48.84092,48.6935,48.28929,48.22315,47.43958,47.31764
558,49.04572,48.84751,48.67511,48.27102,48.20951,47.4463,47.29171
558.5,49.04396,48.84344,48.67959,48.27263,48.20927,47.46366,47.34843
559,49.04955,48.83145,48.67085,48.27398,48.17706,47.45181,47.40351
559.5,49.04813,48.83582,48.66827,48.25547,48.16179,47.42403,47.41184
560,49.04229,48.842,48.67445,48.20956,48.13878,47.48645,47.43861
560.5,49.02299,48.81807,48.65816,48.25045,48.15977,47.42317,47.4596
561,49.02607,48.83132,48.64781,48.25526,48.19814,47.35853,47.40885
561.5,49.02779,48.81339,48.63635,48.18231,48.18466,47.28808,47.39351
562,49.02371,48.82596,48.65332,48.16695,48.17671,47.32088,47.41821
562.5,49.01369,48.80923,48.60999,48.1487,48.11449,47.32485,47.43028
563,48.99381,48.79259,48.62318,48.18052,48.13266,47.23234,47.41349
563.5,49.00236,48.79119,48.60929,48.15416,48.12111,47.34374,47.39754
564,48.99357,48.7861,48.60628,48.18969,48.0444,47.35683,47.44559
564.5,48.98756,48.77569,48.60374,48.20166,48.11029,47.32319,47.42908
565,48.97145,48.76073,48.60405,48.13511,48.12567,47.32885,47.38867
565.5,48.97689,48.75184,48.58451,48.17594,48.1128,47.41554,47.41192
566,48.96485,48.76338,48.60716,48.20473,48.07263,47.42096,47.42267
566.5,48.97145,48.77808,48.56703,48.16741,48.09987,47.33661,47.44274
567,48.96426,48.75979,48.589,48.1564,48.13029,47.27165,47.45396
567.5,48.94162,48.74247,48.57328,48.15292,48.09093,47.27627,47.45557
568,48.94679,48.74255,48.55486,48.10802,48.04626,47.3374,47.47085
568.5,48.97744,48.74314,48.59894,48.12277,48.0388,47.37879,47.42911
569,48.94606,48.74112,48.55482,48.09878,48.04791,47.35641,47.38659
569.5,48.93615,48.73121,48.57429,48.14413,48.05021,47.32444,47.40278
570,48.93869,48.72867,48.56804,48.12847,47.99729,47.21615,47.38434
570.5,48.9237,48.70188,48.53361,48.11031,48.02264,47.30936,47.39049
571,48.89333,48.67797,48.53376,48.12061,47.96534,47.25922,47.38689
571.5,48.91153,48.71029,48.52166,48.12591,47.97389,47.27032,47.3225
572,48.88206,48.68081,48.51717,48.0904,47.99948,47.23132,47.2703
572.5,48.88024,48.66998,48.50819,48.078,47.99218,47.20201,47.22015
573,48.90137,48.66034,48.50341,48.04336,48.02211,47.21158,47.1973
573.5,48.85285,48.65206,48.46713,48.02626,48.01519,47.17062,47.19709
574,48.8454,48.6578,48.47171,48.06418,48.04061,47.20578,47.19057
574.5,48.83916,48.62657,48.45089,48.08735,47.98579,47.23012,47.17184
575,48.8244,48.65853,48.47638,48.07465,48.00849,47.26997,47.21841
575.5,48.83105,48.64668,48.45781,48.07763,48.02606,47.20673,47.23274
576,48.81767,48.609,48.46201,48.09615,47.99574,47.2637,47.2339
576.5,48.84685,48.61715,48.46368,48.06295,47.9556,47.24554,47.23288
577,48.80979,48.61917,48.44719,48.02162,47.94111,47.2535,47.30036
577.5,48.84261,48.62192,48.45364,48.02425,47.93842,47.23367,47.27659
578,48.81771,48.63311,48.45743,48.03335,47.97877,47.20527,47.23012
578.5,48.82635,48.60612,48.45126,48.02778,47.99704,47.23327,47.20857
579,48.81956,48.61228,48.43359,48.01195,47.98468,47.20956,47.20709
579.5,48.82733,48.60247,48.43674,48.01938,47.9435,47.22464,47.25875
580,48.79771,48.57493,48.43765,48.03004,47.86828,47.22465,47.21963
580.5,48.80132,48.59334,48.42067,48.03182,47.87284,47.21161,47.18667
581,48.80496,48.58126,48.44583,48.01798,47.91988,47.11092,47.158
581.5,48.80722,48.59324,48.41154,47.95362,47.92426,47.10396,47.17397
582,48.79965,48.55837,48.40512,47.96105,47.8847,47.06947,47.18951
582.5,48.77754,48.57511,48.39295,47.98747,47.88867,47.14153,47.16963
583,48.78791,48.57693,48.39129,47.97986,47.89102,47.11378,47.17892
583.5,48.77761,48.5495,48.38584,47.9811,47.84805,47.20394,47.16627
584,48.76573,48.55266,48.39548,47.96755,47.86921,47.20265,47.16776
584.5,48.75885,48.57031,48.4041,47.99789,47.88544,47.18045,47.12471
585,48.75721,48.56242,48.37377,47.98787,47.88305,47.17644,47.12232
585.5,48.75425,48.54072,48.36109,47.97384,47.90282,47.15615,47.16363
586,48.75275,48.54916,48.37786,47.96975,47.90035,47.15089,47.20307
586.5,48.74384,48.53748,48.3715,47.94375,47.88916,47.09872,47.18563
587,48.74282,48.53229,48.37534,47.95648,47.87898,47.10613,47.20161
587.5,48.75258,48.51591,48.35502,47.96961,47.85531,47.09541,47.20086
588,48.75128,48.5197,48.35765,47.90278,47.87435,47.13137,47.15854
588.5,48.73248,48.51686,48.35736,47.91855,47.88873,47.12468,47.15394
589,48.71829,48.52233,48.34848,47.92779,47.83477,47.1499,47.12473
589.5,48.71798,48.5086,48.33267,47.92799,47.82271,47.09847,47.0411
590,48.71297,48.51169,48.34478,47.85734,47.83052,47.05533,47.01279
590.5,48.70722,48.49923,48.327,47.88084,47.84408,47.09136,47.01222
591,48.70857,48.48832,48.30914,47.93963,47.85079,47.11197,47.01199
591.5,48.70269,48.50186,48.32061,47.89378,47.81234,47.12584,46.95198
592,48.68105,48.46704,48.3029,47.90246,47.76801,47.08728,46.99818
592.5,48.67011,48.46929,48.28687,47.91894,47.77222,47.04124,47.03552
593,48.69308,48.46404,48.29365,47.89686,47.80685,47.04207,47.02176
593.5,48.67414,48.44138,48.28164,47.89235,47.83545,47.04868,47.01146
594,48.67654,48.45466,48.29862,47.9093,47.82253,47.04224,47.01591
594.5,48.66572,48.46859,48.27599,47.89463,47.81157,47.06231,47.01629
595,48.66024,48.46335,48.2652,47.88005,47.8074,47.06995,47.02949
595.5,48.66137,48.46262,48.27002,47.87604,47.79136,47.09443,47.02733
596,48.66361,48.44566,48.28106,47.88808,47.77423,47.04139,47.01483
596.5,48.65818,48.44139,48.27193,47.886,47.79391,47.00273,47.01275
